ORF	IniProb	rand_mRNA
YBL010C	0.00115746144363602	4
YBL011W	0.000484158590348789	5
YBL013W	0.000718970874408651	1
YBL014C	0.000173907551640695	3
YBL015W	0.00156149139012037	1
YBL016W	0.001059279543249	4
YBL017C	0.000801627305124299	11
YBL018C	0.00135787829080271	10
YBL019W	0.000661492658252041	1
YBL020W	0.000489374629709718	3
YBL021C	0.00145631453831535	3
YBL022C	0.000774844858540472	9
YBL023C	0.00122593718947744	4
YBL024W	0.00170596767853486	11
YBL025W	0.00148903615218587	2
YBL026W	0.00188474182452576	13
YBL028C	0.00345167170061687	12
YBL029CA	0.00139538861376009	2
YBL029W	0.0012224815001223	1
YBL030C	0.00371775853567195	35
YBL031W	0.000580294982343666	3
YBL032W	0.00142674138440215	10
YBL033C	0.00139353304257377	3
YBL034C	0.000545434335661062	3
YBL035C	0.000919306945416633	4
YBL036C	0.00242036546368396	9
YBL037W	0.000671115081487989	5
YBL038W	0.00167322040999217	1
YBL039C	0.00177466075228257	17
YBL040C	0.00165035913744763	7
YBL041W	0.00191150747131409	17
YBL042C	0.000913240758986099	5
YBL045C	0.00183394030977513	6
YBL046W	0.00135732638514195	1
YBL047C	0.00114591928561094	9
YBL050W	0.00186492347749462	11
YBL051C	0.00111169055241139	8
YBL052C	0.000189036581372178	2
YBL054W	0.00107713551339044	4
YBL055C	0.0006849504032425	3
YBL056W	0.000837227637196558	12
YBL057C	0.00108004718368422	4
YBL058W	0.0015844178502149	11
YBL059CA	0.00170235960286386	7
YBL059W	0.000832738078426449	3
YBL060W	0.00073135991971655	2
YBL061C	0.000705573800300925	7
YBL063W	0.000450119426737857	1
YBL064C	0.00163759482867193	11
YBL066C	0.000361088891348197	1
YBL067C	0.000403638034171318	7
YBL068W	0.00131315556908325	4
YBL069W	0.00154886271775532	3
YBL071WA	0.00193718603024202	5
YBL074C	0.000815271729585579	3
YBL076C	0.00116813118838331	48
YBL078C	0.0024936405557802	4
YBL079W	0.000444098758642646	5
YBL080C	0.00062888060726243	1
YBL082C	0.000606822044603928	6
YBL085W	0.000649955114290545	2
YBL086C	0.00115360307568074	4
YBL088C	9.19283749537625e-05	3
YBL089W	0.000832117409854262	3
YBL090W	0.0015314008837187	12
YBL091C	0.0016127581838295	15
YBL091CA	0.00141397872393779	2
YBL092W	0.0046292952586942	367
YBL093C	0.001218844883961	3
YBL095W	0.000246814436322467	3
YBL097W	0.0009086315386601	4
YBL098W	0.0011838921929782	2
YBL099W	0.00240718783191821	26
YBL101C	0.000495701052712006	4
YBL102W	0.000799419841629723	10
YBL103C	0.00117015324012979	1
YBL104C	0.000455628475113216	2
YBL105C	0.000602232026512254	6
YBL106C	0.000420703588904452	2
YBL107C	0.000969539011696196	4
YBR001C	0.000641188103293714	3
YBR002C	0.000909862954027882	7
YBR003W	0.000669929918861871	4
YBR004C	0.000867301417829249	3
YBR005W	0.000657645668655359	1
YBR006W	0.00146283169668472	2
YBR007C	0.000659858449171798	2
YBR011C	0.00397098570017572	116
YBR013C	0.000630569394608189	4
YBR014C	0.00188955597519787	6
YBR015C	0.000936045284899774	9
YBR016W	0.0026776768480438	12
YBR017C	0.000765169187919545	12
YBR021W	0.000928697906933609	3
YBR022W	0.00159953939319453	3
YBR023C	0.000589687080099319	7
YBR024W	0.00142601717064972	1
YBR025C	0.0028682478783872	66
YBR026C	0.00173324670952264	3
YBR028C	0.000714887266248481	4
YBR029C	0.00100001294634514	9
YBR030W	0.000517020217799973	3
YBR034C	0.00155014010426018	14
YBR035C	0.00205892613892422	16
YBR036C	0.00107358227301523	8
YBR037C	0.0011638329251057	3
YBR038W	0.00101758203060117	7
YBR039W	0.00256836571296615	12
YBR041W	0.000845945227615134	4
YBR042C	0.000641825887486714	4
YBR043C	0.000270634225464923	2
YBR044C	0.00040151995247353	2
YBR046C	0.00203277069173879	4
YBR047W	0.00138812666614247	1
