Gene	Num_of_events	Avg_initiation_time(sec)
359	60064	3.92815
360	4	826.046
361	20	44.2128
362	169	49.4253
363	21	101.643
364	9	202.882
365	807	12.4611
366	1550	9.05194
367	16	88.1101
368	29	35.3027
369	33005	1.18145
370	37	79.6314
371	193	26.1371
372	61	54.2923
373	30	16.8526
374	1	491.982
375	25	100.899
376	691	12.4014
377	224	68.7417
378	88	55.7216
379	5	442.979
380	74	93.8553
381	280	9.03714
382	104	57.5462
383	12	40.8204
384	93	26.8014
385	42	74.4838
386	49	83.6711
387	80	44.3813
388	161	18.9362
389	160	15.8413
390	6	184.784
391	42	34.0732
392	41	12.5269
393	442	10.2412
394	93	51.6436
395	1	2589.08
396	71	13.6939
397	69	71.794
398	74	20.2279
399	0	inf
400	4	112.227
401	1031	10.1034
402	448	7.77224
403	137	14.414
404	74	13.6007
405	435	3.44849
406	5	36.0244
407	11	97.8373
408	41	37.6896
409	51	20.2476
410	8	375.534
411	2	229.65
412	27	70.4297
413	163	46.7413
414	75	51.2151
415	2077	4.5656
416	73	32.0811
417	33	62.7012
418	553	24.8323
419	275	21.9214
420	179	13.8606
421	17	173.169
422	3021	4.79198
423	976	15.7766
424	37	71.5766
425	106	28.8657
426	18	59.6227
427	88	50.7301
428	12	121.815
429	484	4.13476
430	6	63.9066
431	26	153.29
432	33	43.9554
433	5	180.11
434	23	112.2
435	26	86.1638
436	149	19.3476
437	35	47.3547
438	352	19.6971
439	59	63.3764
440	124	49.5326
441	1114	5.81499
442	731	6.17543
443	182	20.976
444	1714	16.9318
445	91	10.8827
446	634	9.49311
447	90	45.0341
448	13091	7.78693
449	22	46.0325
450	54	36.3562
451	33	38.9565
452	71	66.9734
453	134	22.677
454	833	5.98799
455	3332	3.00506
456	45	48.9685
457	97	44.2608
458	628	15.9583
459	45	98.4432
460	90	69.3138
461	25	149.053
462	420	28.6313
463	3	1126.09
464	88769	2.60788
465	2640	15.0105
466	40	26.5898
467	135	40.5475
468	37	28.3409
469	76	74.4395
470	16	102.036
471	805	14.3766
472	11	48.4378
473	152	26.8998
474	373	13.6533
475	119	25.4042
476	365	13.522
477	944	16.9565
478	46	51.2443
479	34	42.7744
480	144	17.4297
481	48	31.5292
482	60	16.0528
483	8	75.9265
484	164	12.7139
485	186	21.2532
486	30	87.7858
487	26	73.8547
488	35	83.6136
489	20	110.967
490	440	11.3642
491	49	77.5776
492	431	9.23884
493	812	16.7174
494	82	24.6703
495	138	28.3199
496	529	4.72422
497	51	46.5488
498	890	7.85847
499	1	1260.98
500	288	13.8261
501	27	18.3355
502	42	22.888
503	17	75.5691
504	271	27.8268
505	147	24.0949
506	13	74.3269
507	678	27.8873
508	169	38.7656
509	10	50.5566
510	180	43.2263
511	173	52.8158
512	2	271.754
513	49	114.452
514	15	33.8121
515	609	5.75768
516	170	26.6659
517	29	50.7461
518	238	29.5468
519	295	15.5407
520	56	115.096
521	336	10.5593
522	22	67.1604
523	47	31.7832
524	63	47.5363
525	108	38.6309
526	10	202.003
527	85	83.0351
528	177	34.7747
529	708	4.22479
530	466	15.0971
531	168	25.2017
532	23	63.9654
533	8691	10.3798
534	250	15.9465
535	102	9.61597
536	5	158.052
537	330	8.98261
538	76	26.8767
539	474	6.27683
540	267	18.5727
541	59	31.1489
542	179	44.5842
543	41	69.34
544	51	67.1603
545	989	31.3124
546	640	11.6812
547	18	264.605
548	24	70.4574
549	143	13.7108
550	2	326.725
551	69	28.8604
552	134	30.3301
553	411	12.2464
554	83	36.4145
555	37	72.3686
556	0	nan
557	3831	2.21873
558	19	158.008
559	1004	12.4747
560	467	26.9459
561	2	0
562	16	62.3186
563	58	53.9961
564	8840	7.81017
565	67	46.3787
566	23	318.601
567	29	74.6274
568	157	68.5195
569	51	72.2572
570	215	26.3606
571	27	74.8241
572	895	12.8716
573	18	245.77
574	208	83.5684
575	70	93.6776
576	115	26.6215
577	2898	10.8536
578	41	96.122
579	39	89.4232
580	19	58.9965
581	6	234.469
582	447	11.1382
583	3373	5.78135
584	23	157.786
585	520	16.9321
586	82	25.184
587	1714	10.1884
588	195	42.5665
589	179	29.4238
590	254	21.7533
591	1070	19.8426
592	105	57.6105
593	127	57.6538
594	61257	4.19117
595	124	55.3669
596	30	43.7513
597	214	18.4859
598	177	30.4166
599	63	66.2731
600	92	40.6753
601	159	43.1982
602	265	29.874
603	4	130.788
604	1273	13.722
605	70	67.0259
606	91	16.0036
607	97	40.6075
608	156	32.3703
609	43	77.5059
610	1148	6.91177
611	135	7.38567
612	14	112.698
613	21	142.993
614	1	3713.49
615	9	37.056
616	6469	3.70492
617	430	33.001
618	105	44.7913
619	350	25.647
620	15	59.7827
621	24	16.0155
622	78	25.8914
623	1180	12.6619
624	286	13.9392
625	223	48.6611
626	8	133.579
627	0	nan
628	17	71.367
629	49	43.3716
630	31	142.312
631	30	102.194
632	121	16.4248
633	161	19.1216
634	42	22.076
635	13	281.452
636	134	68.0812
637	326	12.3779
638	33	43.8572
639	42	48.2869
640	126	23.3766
641	3	59.5858
642	183	42.5988
643	63	69.1995
644	17	243.982
645	17	108.807
646	176	25.0213
647	16	145.228
648	22	22.005
649	88	26.9043
650	61	40.2362
651	38	26.0132
652	65	98.8337
653	613	8.90544
654	122	28.7601
655	162	19.0626
656	31233	2.53029
657	434	4.59805
658	2856	12.0553
659	6	184.298
660	1	1654.88
661	194	31.0804
662	163	18.8355
663	52	42.9813
664	155	39.7648
665	23	47.2932
666	240	26.8398
667	460	18.7178
668	56	18.0117
669	144	16.9171
670	493	18.1629
671	34	90.7962
672	1792	13.6157
673	62	40.4384
674	25	61.7053
675	885	18.0721
676	367	4.09287
677	210	24.3869
678	7	75.6302
679	20	157.666
680	154	30.4581
681	162	15.4464
682	65	48.1237
683	25	132.615
684	356	31.2864
685	108	33.9168
686	420	35.1624
687	37	91.401
688	55	18.3732
689	107	61.5596
690	23	81.9161
691	32	125.42
692	50	140.873
693	11	97.5608
694	344	23.0708
695	28	54.6683
696	81	43.4859
697	30	69.2591
698	19	280.302
699	45	31.7363
700	80	39.858
701	150	54.5468
702	306	26.0734
703	23	62.359
704	535	10.9877
705	10	67.0913
706	19	90.3505
707	66	64.5776
708	46	44.7375
709	22198	2.68053
710	9500	4.3168
711	16	84.2601
712	24	125.839
713	42	109.372
714	103	40.5327
715	323	10.8646
716	1955	5.87565
717	156	37.277
718	5	426.278
719	111	59.958
720	165	35.2242
721	28	40.6002
722	28	134.885
723	2	367.972
724	74	41.5319
725	35	70.276
726	161	89.8274
727	59	8.53544
728	7	70.6489
729	176	11.1067
730	43	88.9439
731	31	61.6774
732	61	24.9502
733	213	16.5703
734	122	33.5715
735	61	120.864
736	10	400.152
737	133	29.6153
738	202	36.8213
739	48	103.573
740	25	50.5318
741	513	24.5635
742	20	318.975
743	10212	2.59631
744	84	41.353
745	232	62.0109
746	350	21.4016
747	10	69.6982
748	224	51.3564
749	9	344.082
750	115	26.6244
751	51	101.332
752	179	22.4005
753	139	45.9297
754	53	44.589
755	117	34.1472
756	37	74.3423
757	148	17.0132
758	296	17.2057
759	892	8.98002
760	224	24.4363
761	273	37.6102
762	9	63.0575
763	25	39.9013
764	1417	13.3275
765	295	15.0835
766	297	15.3653
767	24	94.2121
768	49	104.913
769	20	49.2705
770	29	67.1375
771	50	71.1018
772	7	187.198
773	79	12.6406
774	829	10.248
775	323	17.329
776	906	8.25347
777	71	36.7048
778	10	155.862
779	68	64.7833
780	6	430.925
781	15	148.861
782	1517	17.4131
783	30	168.822
784	25	20.5778
785	125	35.0477
786	6	237.754
787	3	379.65
788	23	87.9603
789	260	28.1131
790	497	19.4287
791	718	16.1131
792	301	44.4411
793	168	20.3959
794	34	51.6106
795	7	325.358
796	11	131.293
797	1876	6.94643
798	114	34.6347
799	47	43.4691
800	19	46.3851
801	10	59.2344
802	655	29.9858
803	22	87.7055
804	13	120.069
805	4069	6.03872
806	39	177.225
807	119	96.1876
808	537	13.1412
809	1	656.23
810	352	37.5804
811	519	30.9594
812	24	119.126
813	54	77.7802
814	3070	4.56166
815	1956	12.835
816	12	127.28
817	68	114.946
818	87692	2.59375
819	306	9.88195
820	10	137.564
821	408	14.4248
822	23	38.6856
823	69	62.4715
824	50	54.4209
825	21	133.272
826	316	28.2068
827	123	45.5835
828	83	82.7571
829	2083	30.3013
830	93	21.0902
831	542	11.9572
832	147	13.5066
833	15	76.0405
834	7	170.246
835	534	21.1849
836	93	83.1031
837	97	43.3138
838	39	57.9816
839	20	349.308
840	7	365.974
841	5	848.658
842	27	60.0759
843	48	30.549
844	14	40.8876
845	491	31.5393
846	34	28.2615
847	2168	17.7364
848	8	62.5404
849	1724	4.06353
850	131	67.7268
851	55	68.0508
852	15	67.8704
853	35	27.3705
854	486	7.1885
855	3	112.868
856	25	80.6312
857	157	46.8276
858	183	33.1124
859	42	129.844
860	2938	8.81323
861	52	47.8188
862	30	84.3884
863	15	107.917
864	14	277.816
865	119	32.8476
866	12352	1.78136
867	686	9.57796
868	146	34.2929
869	27	73.6665
870	102	66.9313
871	21	68.6469
872	369	22.4397
873	44	33.2941
874	42	72.802
875	13	110.595
876	69	14.7074
877	14	113.846
878	47	32.0966
879	108	92.4189
880	91	31.4432
881	426	24.357
882	16	144.768
883	20	114.176
884	254	15.7849
885	5	36.4424
886	80	17.9329
887	11	40.8658
888	158	30.8184
889	67	84.9927
890	217	48.4471
891	119	90.8198
892	48	69.1596
893	4	219.934
894	44	45.824
895	959	5.2239
896	60	39.7578
897	31	34.765
898	64	32.1885
899	194	47.588
900	3398	2.64625
901	416	7.26523
902	171	11.7054
903	2148	5.10187
904	116	30.7022
905	40	25.5157
906	57	34.8412
907	139	17.9438
908	985	10.7165
909	34	28.1748
910	726	3.43701
911	198	27.1246
912	80	26.7191
913	1106	11.9879
914	23	41.0458
915	144	24.3266
916	49	29.6546
917	1020	14.2755
918	544	15.224
919	66	73.0076
920	26	125.744
921	218	137.718
922	33	48.548
923	118	32.7688
924	138	68.8154
925	5	472.022
926	31513	2.03109
927	123	15.893
928	2196	5.00185
929	13	85.5189
930	325	6.18417
931	7368	1.76503
932	12180	5.17128
933	61	101.428
934	19	50.9974
935	124	19.7431
936	51	48.7719
937	26683	1.57375
938	113	70.8729
939	617	8.91563
940	193	45.842
941	495	27.579
942	380	10.5968
943	34	44.727
944	249	35.4895
945	311	12.7533
946	183	38.4201
947	2328	10.2919
948	64	72.9345
949	8	154.15
950	40	45.6098
951	19	117.649
952	110	84.4726
953	124	7.8088
954	19	119.394
955	4	121.14
956	156	15.5068
957	19	120.902
958	19	89.4127
959	481	7.31413
960	916	45.1035
961	11	255.988
962	67	43.8464
963	1095	8.68476
964	416	13.3221
965	10	236.22
966	481	20.7337
967	16	112.214
968	23	62.1973
969	10241	4.34428
970	89	35.1392
971	959	5.7281
972	12	163.35
973	54	53.0317
974	1	1429.6
975	95	67.7383
976	46	64.9814
977	75	46.5148
978	3821	8.23319
979	30	84.1681
980	19	57.7319
981	216	41.3008
982	83	59.8975
983	1251	11.5635
984	1	867.978
985	507	9.88265
986	482	25.7515
987	130	11.47
988	164	18.4841
989	1651	4.55483
990	947	12.0738
991	17	26.3174
992	143	7.04626
993	537	14.7903
994	50	92.4308
995	58	46.6517
996	9	54.8471
997	1	1430.53
998	577	7.89005
999	2321	2.36525
1000	483	7.18306
1001	33	44.3449
1002	65	75.4196
1003	25	60.4775
1004	501	12.9447
1005	2258	6.41197
1006	163	53.89
1007	430	17.6255
1008	16	192.462
1009	443	13.3952
1010	53	35.5361
1011	1354	42.1565
1012	365	59.5553
1013	2110	4.27968
1014	145	14.3366
1015	23	39.6279
1016	1	237.571
1017	30	120.873
1018	830	7.23881
1019	648	5.44101
1020	84	17.5816
1021	19	58.3982
1022	199	20.529
1023	6472	3.71073
1024	319	21.6735
1025	29	50.654
1026	144	90.0622
1027	123	47.165
1028	574	7.85085
1029	330	18.2412
1030	2321	3.23047
1031	68	38.4949
1032	88	10.8433
1033	416	8.27126
1034	1271	3.13924
1035	622	15.1166
1036	4	105.179
1037	1029	26.2582
1038	95	43.3525
1039	128	46.1773
1040	654	10.6479
1041	67	37.3072
1042	154	42.1963
1043	67	30.0271
1044	18	80.823
1045	333	11.9701
1046	14	37.7973
1047	952	8.46848
1048	36	65.6134
1049	47	32.7746
1050	38	497.059
1051	47	59.25
1052	115	27.3435
1053	60	31.3608
1054	1158	4.75108
1055	230	23.7305
1056	54	54.8177
1057	133	11.3857
1058	1311	16.8131
1059	222	39.689
1060	17	106.767
1061	34586	2.48707
1062	1	690.774
1063	416	14.5254
1064	90	38.054
1065	36	26.3966
1066	15	32.261
1067	14	85.0416
1068	219	38.569
1069	1997	10.5486
1070	4	326.628
1071	983	18.8206
1072	58	44.4715
1073	62	24.2805
1074	59	25.9144
1075	14	100.344
1076	24	166.3
1077	364	8.31524
1078	154	28.9806
1079	20	120.842
1080	57	26.4941
1081	3025	2.47859
1082	17	61.3981
1083	29	104.56
1084	67	69.4474
1085	28	109.783
1086	48	32.4175
1087	23	61.4333
1088	24	87.0002
1089	15	204.791
1090	121	41.0012
1091	27	76.6334
1092	21	75.4733
1093	4698	14.2101
1094	1120	5.33992
1095	1	1027.5
1096	617	8.84591
1097	301	36.005
1098	38	82.2263
1099	33	59.1047
1100	271	28.2184
1101	1463	14.4827
1102	5	190.346
1103	43	46.7927
1104	1045	6.71132
1105	72	35.5486
1106	1195	3.35548
1107	95	31.7244
1108	718	16.8321
1109	1029	3.89562
1110	24	40.2358
1111	614	7.40703
1112	82	37.37
1113	12	80.0674
1114	343	67.1001
1115	19	332.252
1116	153	64.4233
1117	35	67.5636
1118	8	60.1692
1119	724	9.05154
1120	1772	13.2113
1121	48	31.6023
1122	218	11.476
1123	8886	8.22535
1124	35	113.227
1125	225	42.8287
1126	22	87.7615
1127	0	nan
1128	875	16.5891
1129	69	57.3967
1130	184	19.2477
1131	745	20.6487
1132	31	120.159
1133	49	39.4624
1134	103	23.4756
1135	190	37.9096
1136	377	23.6025
1137	9	68.5544
1138	66	60.9597
1139	38	52.3018
1140	45	22.2362
1141	2	297.336
1142	78	71.6947
1143	103	28.2661
1144	39	97.6245
1145	11	32.7877
1146	8	394.24
1147	154599	1.69069
1148	237	19.044
1149	46	32.3756
1150	116	52.4975
1151	10	112.873
1152	22	48.6649
1153	216	23.1279
1154	101	51.4721
1155	93	25.0561
1156	22	74.2389
1157	251	23.2533
1158	32	101.569
1159	386	5.13578
1160	785	15.97
1161	222	11.4114
1162	898	16.1483
1163	365	4.10328
1164	247	32.681
1165	176	55.4475
1166	18	96.7861
1167	23	76.1903
1168	69	93.8061
1169	3	203.08
1170	3976	8.02462
1171	1161	12.0252
1172	666	7.46885
1173	594	36.3197
1174	22	70.311
1175	51	18.5208
1176	52	45.9782
1177	30	139.756
1178	86	5.80919
1179	168	33.3073
1180	624	19.387
1181	31	132.983
1182	153	33.0712
1183	14	62.7515
1184	112	26.5387
1185	563	9.83864
1186	85	32.3995
1187	250	29.7499
1188	1271	8.66293
1189	798	6.27783
1190	96	15.8275
1191	936	12.5312
1192	125	27.419
1193	186	21.0575
1194	355	27.4352
1195	610	11.5113
1196	115	38.7161
1197	20	113.779
1198	93	35.6385
1199	493	31.8131
1200	106	9.54976
1201	113	30.8118
1202	3183	13.1962
1203	664	20.9512
1204	68	37.0538
1205	1379	7.94905
1206	11	129.853
1207	23	40.742
1208	117	24.464
1209	11	40.8293
1210	73	28.0743
1211	24	44.249
1212	74	27.8791
1213	826	17.2123
1214	1473	8.82408
1215	34	28.9565
1216	29	90.0023
1217	19	152.504
1218	104	37.6914
1219	20	24.7374
1220	47	53.9945
1221	45	90.9491
1222	103	92.0424
1223	104	52.0936
1224	3	190.46
1225	13	124.619
1226	268	32.8783
1227	84	44.2621
1228	255	11.7077
1229	155	49.3273
1230	15	196.458
1231	2344	5.12175
1232	3440	6.66949
1233	39	82.2331
1234	50	103.904
1235	155	38.9221
1236	6	787.551
1237	162	48.3985
1238	80	38.61
1239	35	107.97
1240	195	31.2773
1241	41077	6.4316
1242	16	187.314
1243	34	14.7677
1244	33	189.659
1245	397	7.52686
1246	92	38.467
1247	54	97.2907
1248	14	56.9372
1249	8	519.085
1250	21	253.879
1251	58	50.6839
1252	11	116.802
1253	23	70.1004
1254	24	72.3103
1255	1	2097.5
1256	27	192.983
1257	873	18.1612
1258	34	70.6877
1259	152	30.0671
1260	52	88.4515
1261	411	12.0942
1262	32	91.8944
1263	94	85.0309
1264	30	59.1106
1265	51	39.9457
1266	107	70.7268
1267	43	35.3731
1268	80	53.2889
1269	127	32.3979
1270	165	56.3666
1271	172	17.1689
1272	82	18.2484
1273	18	98.4358
1274	154	25.1502
1275	69	120.576
1276	1118	9.84736
1277	125	44.7464
1278	2265	7.05287
1279	62	39.2942
1280	39	56.3251
1281	49	69.1052
1282	9	44.6054
1283	291	29.457
1284	1139	15.6667
1285	37	71.8358
1286	624	12.1965
1287	88	38.9821
1288	47	10.8041
1289	211	19.115
1290	13	74.4577
1291	92	21.9647
1292	276	17.9402
1293	34	133.738
1294	100	34.9931
1295	201	27.5976
1296	36	52.6627
1297	8	42.7386
1298	72	32.7006
1299	578	23.3852
1300	210	4.8025
1301	48	61.5797
1302	138	56.6871
1303	734	8.12954
1304	6	93.164
1305	111	27.6693
1306	34	90.2292
1307	504	27.166
1308	2	259.65
1309	61	16.3064
1310	68	47.9913
1311	18	99.0689
1312	19	259.672
1313	318	24.6477
1314	1702	4.70091
1315	115	97.6516
1316	60	71.6001
1317	30	97.8395
1318	58	78.9539
1319	4605	3.47718
1320	56	27.0498
1321	44	129.507
1322	106	74.5732
1323	4	557.033
1324	20	110.875
1325	37	80.4412
1326	44	113.73
1327	137	26.0272
1328	62	16.353
1329	245	33.1919
1330	1775	4.78624
1331	30	51.5454
1332	89	28.1018
1333	54	39.3609
1334	54	55.6662
1335	81	24.8741
1336	74	40.9055
1337	3256	6.58292
1338	124	81.0829
1339	75665	3.01967
1340	620	7.96714
1341	16	51.6007
1342	281	75.7663
1343	85	41.3549
1344	7568	2.57746
1345	414	9.62505
1346	52	84.1311
1347	45	57.0883
1348	59	42.7231
1349	43	89.7554
1350	15	127.587
1351	130	30.2222
1352	263	3.80405
1353	355	9.77752
1354	111	13.2761
1355	19	49.9119
1356	44	91.0682
1357	78	12.8372
1358	1680	8.3086
1359	162	36.9927
1360	11	485.258
1361	1068	9.83924
1362	24	122.065
1363	1	675.688
1364	106	56.6062
1365	654	14.5078
1366	51	61.8417
1367	436	11.454
1368	17	173.211
1369	521	5.76724
1370	89	22.1721
1371	563	22.1031
1372	562	7.07337
1373	197	27.6548
1374	186	58.6015
1375	2408	4.98221
1376	2	338.141
1377	4	121.644
1378	35	122.354
1379	23	65.5476
1380	70	66.4278
1381	481	17.5304
1382	171	26.7277
1383	28	56.9579
1384	2	309.237
1385	13	193.076
1386	32	100.492
1387	77	94.9137
1388	392	42.5151
1389	103	59.6366
1390	2470	5.88157
1391	1482	29.1351
1392	55	190.671
1393	45	11.3884
1394	25	94.1632
1395	76	71.9666
1396	109	29.6996
1397	103	80.5227
1398	114	42.0253
1399	174	14.2893
1400	919	19.547
