Gene	Num_of_events	Avg_total_elong_time(sec)	Num_elng_stall	Num_chx_stall
248	53	96.2915	0	0
249	27	62.949	1	0
250	441	78.3583	3	0
251	2204	56.5016	10	0
252	11	65.8513	0	0
253	32	52.8311	0	0
254	133	65.4857	0	0
255	10	113.533	0	0
256	58	93.4354	0	0
257	31	136.472	0	0
258	253	27.644	1	0
259	11	384.369	0	0
260	186	24.9165	0	0
261	91	85.8366	0	0
262	172	80.3121	0	0
263	12	505.191	0	0
264	16	58.216	0	0
265	56	109.194	0	0
266	1416	47.6656	2	0
267	57	42.032	0	0
268	80	47.2419	0	0
269	12	86.5399	0	0
270	531	45.1939	0	0
271	101	49.3708	1	0
272	34	47.1556	0	0
273	32	44.0041	0	0
274	534	26.8258	1	0
275	171	55.0285	1	0
276	23	108.753	1	0
277	99	41.6259	0	0
278	161	95.0334	0	0
279	535	48.2067	0	0
280	105	43.0139	0	0
281	71	62.9692	0	0
282	1029	51.4148	0	0
283	540	10.995	0	0
284	13	90.2929	0	0
285	405	27.7629	0	0
286	23	52.8474	0	0
287	105	72.1035	0	0
288	63	20.3392	0	0
289	14	70.4429	0	0
290	22	89.7156	0	0
291	133	99.4345	0	0
292	159	30.5129	0	0
293	97	113.259	0	0
294	577	24.2163	2	0
295	20	59.0354	0	0
296	25	47.2841	0	0
297	175	67.5941	0	0
298	14	129.556	0	0
299	9	71.9792	0	0
300	28	53.5974	0	0
301	14	86.849	0	0
302	50	47.3496	0	0
303	140	38.5916	1	0
304	62	26.5254	0	0
305	22801	12.2146	6	0
306	58	56.8485	0	0
307	108	36.5954	1	0
308	49	19.9148	0	0
309	51	67.9748	0	0
310	8110	40.921	8	0
311	49	40.0195	0	0
312	45	126.12	0	0
313	151	81.061	0	0
314	62	83.8724	0	0
315	73	33.9408	0	0
316	129	125.666	0	0
317	6	134.69	0	0
318	78	67.3774	3	0
319	189	59.5526	1	0
320	154	79.0165	0	0
321	49	251.555	0	0
322	109	27.1219	0	0
323	34	55.5821	1	0
324	67	115.462	0	0
325	31	50.8702	0	0
326	89	88.2032	0	0
327	78	91.3423	0	0
328	83	117.383	0	0
329	32	34.1729	0	0
330	36	91.0203	1	0
331	1584	40.0803	1	0
332	122	80.6444	2	0
333	4	96.8845	0	0
334	12	140.742	0	0
335	74	77.2902	0	0
336	23	51.0574	0	0
337	99	140.473	0	0
338	217	20.8601	0	0
339	168	13.2954	0	0
340	75	59.1511	0	0
341	94	66.9322	0	0
342	137	20.3005	0	0
343	406	52.72	3	0
344	14	190.605	0	0
345	126	63.5625	1	0
346	19	141.94	0	0
347	79	90.6339	1	0
348	19	87.8734	0	0
349	26	85.2986	0	0
350	58	39.0788	0	0
351	72	67.4999	0	0
352	500	20.6283	0	0
353	157	158.377	1	0
354	19	66.9066	0	0
355	129	71.9838	3	0
356	226	79.191	0	0
357	1751	34.2493	5	0
358	183	48.7757	1	0
359	593	19.6416	0	0
360	57	22.5756	0	0
361	126	28.6907	0	0
362	24	17.9101	0	0
363	22	120.352	0	0
364	112	35.4385	0	0
365	46	45.7149	0	0
366	80	22.2681	0	0
367	4	105.531	0	0
368	126	103.057	2	0
369	249	38.3271	1	0
370	142	17.8965	0	0
371	723	60.2979	1	0
372	79	36.1848	0	0
373	108	51.7598	0	0
374	149	63.9036	1	0
375	108	22.8321	0	0
376	127	27.6175	0	0
377	17	81.0272	0	0
378	27	79.9979	0	0
379	54	74.0476	0	0
380	18	83.2634	0	0
381	23	324.324	0	0
382	16	139.682	0	0
383	65	34.2077	1	0
384	90	62.8716	0	0
385	35	102.857	0	0
386	20	121.307	0	0
387	227	22.0122	0	0
388	662	57.0753	3	0
389	9	146.36	0	0
390	1718	58.7628	3	0
391	57	67.8417	0	0
392	132	78.2005	0	0
393	39	171.448	0	0
394	76	54.7085	2	0
395	30	46.4933	0	0
396	4	86.2787	0	0
397	7	193.579	0	0
398	21	68.5645	0	0
399	325	23.7252	1	0
400	21	49.9887	0	0
401	8	89.8386	0	0
402	18	52.9859	0	0
403	752	13.0559	0	0
404	63	74.5405	0	0
405	771	43.1925	1	0
406	55	45.3034	1	0
407	210	60.5151	1	0
408	21	20.6963	0	0
409	51	255.327	0	0
410	52	64.4247	0	0
411	183	66.6007	0	0
412	14	180.12	0	0
413	22	87.9248	0	0
414	258	23.2716	0	0
415	75	96.1977	0	0
416	435	60.3681	3	0
417	93	79.842	1	0
418	524	106.909	4	0
419	200	42.6045	0	0
420	25	58.9182	0	0
421	88	30.0997	0	0
422	186	72.7806	0	0
423	930	18.1437	2	0
424	40	105.624	0	0
425	869	55.9662	6	0
426	34	93.8143	0	0
427	17	132.538	0	0
428	2180	59.0776	6	0
429	98	72.298	2	0
430	284	120.214	0	0
431	51	45.8306	0	0
432	16	54.6912	0	0
433	948	37.364	3	0
434	31	101.93	0	0
435	49	65.4467	0	0
436	111	100.364	1	0
437	101	52.5019	1	0
438	20	27.3696	0	0
439	597	13.8667	0	0
440	234	96.5623	0	0
441	236	21.5052	4	0
442	376	42.4109	0	0
443	61	171.213	0	0
444	31	74.2277	0	0
445	1019	51.7837	5	0
446	54	47.3576	0	0
447	159	25.0124	0	0
448	550	34.629	1	0
449	282	64.6643	1	0
450	19	40.6856	0	0
451	56	95.5863	0	0
452	269	36.9115	0	0
453	195	167.047	1	0
454	48885	27.0183	36	0
455	69	46.2389	0	0
456	200	46.0312	1	0
457	124	149.077	0	0
458	50	37.1522	0	0
459	34	59.64	0	0
460	143	14.055	1	0
461	144	13.79	0	0
462	20	44.2164	0	0
463	20	98.2912	0	0
464	13	74.2235	0	0
465	16819	2.91533	3	0
466	0	nan	0	0
467	53	122.651	0	0
468	10	39.9338	0	0
469	23	85.7997	0	0
470	1517	13.0723	0	0
471	124	136.96	1	0
472	10	366.673	0	0
473	17	198.247	0	0
474	660	46.4716	1	0
475	160	56.8353	0	0
476	125	53.2126	0	0
477	49	138.875	1	0
478	50	226.825	1	0
479	288	19.4628	0	0
480	98	56.6919	1	0
481	176	34.6322	0	0
482	93	58.854	0	0
483	80	120.563	0	0
484	423	35.7805	0	0
485	163	83.4507	0	0
486	1440	51.0533	4	0
487	63	94.7859	2	0
488	120	140.53	0	0
489	58	42.9954	1	0
490	120	20.6319	0	0
491	50	118.682	0	0
492	96	25.8897	0	0
493	67	97.7053	0	0
494	20	82.7565	0	0
495	166	173.086	0	0
496	31	86.2244	0	0
497	306	48.8493	1	0
498	48	26.4348	0	0
499	77	80.3181	0	0
500	8	209.805	0	0
501	102	58.5034	1	0
502	36	45.1015	0	0
503	156	11.4079	0	0
504	110	45.2295	0	0
505	138	119.522	0	0
506	13	80.6261	0	0
507	30	216.082	0	0
508	203	20.6154	0	0
509	242	19.8885	0	0
510	140	109.819	0	0
511	126	40.2065	0	0
512	304	31.7717	0	0
513	894	79.3723	3	0
514	4	274.371	0	0
515	221	27.3701	0	0
516	11	116.801	0	0
517	12	169.991	0	0
518	83	314.613	2	0
519	61	60.1113	0	0
520	57	58.5684	0	0
521	240	20.638	1	0
522	4	148.563	0	0
523	88	73.3557	0	0
524	215	39.7604	0	0
525	46	92.6222	2	0
526	807	19.4883	0	0
527	102	68.2248	0	0
528	72	43.3281	0	0
529	603	68.0373	3	0
530	162	24.7387	1	0
531	121	41.4007	0	0
532	389	23.7135	1	0
533	43	106.699	0	0
534	3058	26.0014	1	0
535	404	38.6604	0	0
536	89	80.1908	0	0
537	116	32.7563	0	0
538	23	204.699	0	0
539	173	92.4016	1	0
540	65	47.4931	0	0
541	1279	36.9744	3	0
542	30	93.5191	0	0
543	22	70.9532	0	0
544	35	132.782	0	0
545	560	55.6134	3	0
546	51	87.303	0	0
547	79	133.703	0	0
548	28	66.9846	0	0
549	8	150.6	0	0
550	58	74.0177	0	0
551	193	122.384	0	0
552	46	84.7559	2	0
553	62	41.4637	2	0
554	109	69.7214	0	0
555	35	47.295	0	0
556	244	17.9169	0	0
557	524	23.8434	1	0
558	178	53.4262	0	0
559	8	76.4748	0	0
560	695	35.0652	0	0
561	162	45.1772	0	0
562	309	31.7837	0	0
563	34	87.7569	0	0
564	6820	29.156	16	0
565	61	136.437	0	0
566	50	55.5958	0	0
567	133	272.147	0	0
568	26	41.4859	0	0
569	80	111.34	0	0
570	66	107.524	1	0
571	265	24.5706	0	0
572	83	55.4479	0	0
573	1113	49.0799	3	0
574	513	8.50985	0	0
575	17	36.9125	0	0
576	127	94.2155	1	0
577	389	33.4565	0	0
578	11	155.782	0	0
579	102	111.027	0	0
580	20519	7.66418	2	0
581	61	51.7165	0	0
582	41	157.329	0	0
583	236	53.3081	1	0
584	14	106.303	0	0
585	18324	6.84941	3	0
586	2348	42.6106	2	0
587	498	9.39242	2	0
588	150	40.9657	0	0
589	39	50.8303	0	0
590	36	77.1343	0	0
591	32	73.265	0	0
592	65	71.2126	0	0
593	17	76.3649	0	0
594	290	21.8985	0	0
595	36	113.133	0	0
596	458	116.441	1	0
597	341	71.5574	0	0
598	31	30.2296	0	0
599	71	48.2467	0	0
600	798	41.4938	1	0
601	84	83.1039	0	0
602	83	156.63	0	0
603	301	67.3179	0	0
604	19	67.0118	0	0
605	26	66.284	0	0
606	40	85.401	0	0
607	47	61.2145	0	0
608	91	49.1704	0	0
609	2	105.992	0	0
610	197	24.6437	0	0
611	220	46.0455	0	0
612	103	228.782	0	0
613	50	98.4116	1	0
614	54	59.0724	0	0
615	113	117.957	1	0
616	32	135.678	0	0
617	61	52.4702	0	0
618	17	29.5605	0	0
619	107	23.5251	1	0
620	113	117.498	2	0
621	37	27.0231	0	0
622	626	43.0988	1	0
623	1005	21.6137	1	0
624	1416	95.3724	4	0
625	46	50.2498	0	0
626	162	63.3241	1	0
627	30	59.5124	0	0
628	15779	6.96683	0	0
629	386	12.686	0	0
630	126	115.599	0	0
